method,nominal_iae,nominal_overshoot,nominal_settling_time,disturbance_iae,disturbance_recovery_time,highop_iae,highop_overshoot,uncertainty_pm10_iae,uncertainty_pm10_constraint_violations,uncertainty_pm20_iae,uncertainty_pm20_constraint_violations,average_rank
Static PID,3.274962008164555,0.10000000000000002,inf,1.91147969394072,8.403361344537814,24.02133029238763,0.10000000000000002,1.3805892509629192,0.0,1.4569817855039826,0.0,3.5638888888888887
Pure-RL (paper baseline),38.82272968253613,0.10000000000000002,inf,28.02948506907492,inf,39.65874244643751,0.10000000000000002,26.26739634937464,0.0,29.656261137812447,0.0,4.825
CIRL reproduced,5.115297633828064,0.10000000000000002,inf,2.6245599630727434,9.243697478991592,13.93589721901354,0.10000000000000002,2.2748620592837114,0.0,2.126556174910468,0.0,2.263888888888889
SAC,15.48820177134958,0.10000000000000002,inf,48.46940064509041,inf,22.66739434714687,0.10000000000000002,39.032692082615654,0.0,42.0516373638247,0.0,5.758333333333334
TD3,67.82545643821807,0.10000000000000002,inf,27.272622079043348,inf,67.45570853905839,0.10000000000000002,32.263782336797085,0.0,31.626917856301883,0.0,5.611111111111111
TQC,20.251464248264924,0.10000000000000002,inf,62.28155290977737,inf,22.732167312922698,0.10000000000000002,36.96251942329702,0.0,42.31047835313277,0.0,7.2027777777777775
PPO,10.25384190414862,0.10000000000000002,inf,54.92841962940786,inf,15.40910143860288,0.10000000000000002,35.34921297207357,0.0,44.64277951164029,0.0,4.122222222222222
DR-CIRL,4.77977000599519,0.10000000000000002,inf,2.6775757871836894,9.243697478991592,15.18714298909115,0.10000000000000002,1.9455319393180097,0.0,1.8815949606715445,0.0,2.6527777777777777
