method,nominal_rank,disturbance_rank,highop_rank,uncertainty_pm10_rank,uncertainty_pm20_rank,overall_average_rank
Static PID,3.5,2.2222222222222223,5.875,3.111111111111111,3.111111111111111,3.5638888888888887
Pure-RL (paper baseline),5.375,4.666666666666667,5.75,4.111111111111111,4.222222222222222,4.825
CIRL reproduced,2.125,2.5555555555555554,1.75,2.4444444444444446,2.4444444444444446,2.263888888888889
SAC,5.25,6.0,4.875,6.444444444444445,6.222222222222222,5.758333333333334
TD3,6.75,4.333333333333333,6.75,5.111111111111111,5.111111111111111,5.611111111111111
TQC,7.0,7.888888888888889,6.125,7.555555555555555,7.444444444444445,7.2027777777777775
PPO,3.375,5.444444444444445,2.125,4.666666666666667,5.0,4.122222222222222
DR-CIRL,2.625,2.888888888888889,2.75,2.5555555555555554,2.4444444444444446,2.6527777777777777
